start,transactions,revenue TTC,google ads hors brand cost,google ads hors brand impr,google ads brand cost,google ads brand impr,meta ads hors brand cost,meta ads hors brand impr,meta ads brand cost,meta ads brand impr,black Friday,french days,soldes
19/10/2020,883,295742.87,29882.88,3824241,820.29,26560,422.4,28121,958.81,199334,0,0,0
26/10/2020,1364,466938.27,30766.58,3906382,1058.84,44245,416.08,33503,939.67,175420,0,0,0
2/11/2020,1665,590958.27,40705.83,4356721,1193.91,49526,2064.86,279639,911.06,156196,0,0,0
9/11/2020,1547,543221.96,36166.6,7469183,525.63,21938,3497.41,513778,908.53,137958,0,0,0
16/11/2020,1543,508274.25,31668.56,8097667,270.39,25006,4572.73,557254,981.38,127005,1,0,0
23/11/2020,3003,1044605.61,50894.54,9230031,254.56,32409,1702.87,162844,1122.05,111027,1,0,0
30/11/2020,4509,1608997.11,99563.97,12840830,253.18,35348,10774.46,1900490,1583.69,149113,1,0,0
7/12/2020,2559,934004.59,66513.2,10334237,244.53,35712,2857.57,691704,1922.62,163381,1,0,0
14/12/2020,2125,780957.99,44629.36,7352240,122.8,19503,8670.57,1407359,2215.79,201933,0,0,0
21/12/2020,1431,510093.36,33049.72,6947265,118.41,18310,3538.38,837283,2811.18,451667,0,0,0
28/12/2020,1371,518239.15,23642.94,5269222,98.01,15872,1517.89,420337,1215.07,279175,0,0,0
4/1/2021,1420,503742.88,31134.17,4681234,78.87,12833,1399.27,393318,1052.28,242277,0,0,0
11/1/2021,1167,408834.77,28183.96,4423827,71.58,11801,1400.74,330243,1047.45,225060,0,0,0
18/01/2021,1426,496681.29,29528.97,4834889,14.72,2512,1886.44,419753,1491.83,299455,0,0,1
25/01/2021,1341,447314.4,35945.32,6045068,63.18,10473,1947.71,469127,1750.36,320582,0,0,1
1/2/2021,1352,441076.45,38727.81,7114134,62.27,10628,1888.98,476372,1750.35,324716,0,0,1
8/2/2021,1175,393686.88,36166.94,5840142,262.9,47841,1889.46,444205,1751.9,334406,0,0,1
15/02/2021,1678,573241.67,22609.59,2816291,185.83,30922,1115.62,303122,1071.9,171285,0,0,0
22/02/2021,1622,578772.37,25000.96,3122606,186.17,29525,1084.96,235874,1049.88,162226,0,0,0
1/3/2021,1805,648554.18,29128.74,3600791,220.67,33292,1083.81,223580,1049.24,155368,0,0,0
8/3/2021,1594,563161.02,34904.95,4303230,243.9,28769,1085.29,258094,759.94,106194,0,0,0
15/03/2021,1548,525622.43,30249.49,4827514,167.91,15690,1084.81,236411,700.24,99473,0,0,0
22/03/2021,1582,534363.5,38060.26,6326562,181.83,16526,1083.04,261809,698.84,89346,0,0,0
29/03/2021,1632,545326.08,39383.2,4092231,189.43,15836,1205.98,325359,700.68,102685,0,0,0
5/4/2021,1921,636006.15,34525.76,4236380,253.16,17800,1236.02,356973,697.21,109307,0,0,0
12/4/2021,1448,476001.05,25329.8,3824344,284.57,19948,1220.7,265602,701.99,105130,0,0,0
19/04/2021,1585,550584.9,31143.04,9857873,331.41,25074,1229.6,212620,701.17,92190,0,0,0
26/04/2021,2000,648654.32,37069.93,7437137,333.49,24871,1224.23,200540,699.42,94005,0,0,0
3/5/2021,1822,619796,35070.52,6764131,307.32,24511,1225.38,229315,700.15,96681,0,0,0
10/5/2021,1644,555966.73,30384.15,7262668,319.82,17034,1224.22,244342,700.13,101508,0,0,0
17/05/2021,1507,498818.1,32090.72,5010320,445.96,17123,1222.26,219771,696.93,97241,0,0,0
24/05/2021,1848,588785.31,35269.02,4022068,568.46,19770,1229.68,207795,703.21,74056,0,0,0
